task_id,task_code,project_id,assigned_user_id,task_name,task_status,priority,created_date,due_date,completed_date
49,TSK00049,2,33,Create Database Schema,pending,high,2025-08-03,2025-08-14,
50,TSK00050,2,56,Testing Module,pending,medium,2025-08-17,2025-09-29,
51,TSK00051,2,3,Security Testing,in progress,low,2025-08-05,2025-09-23,
52,TSK00052,2,21,Fix Bugs,in progress,medium,2025-08-16,2025-10-07,
53,TSK00053,2,26,Develop API,pending,medium,2025-08-08,2025-09-03,
54,TSK00054,2,49,Create Database Schema,in progress,low,2025-08-12,2025-09-27,
55,TSK00055,2,35,Testing Module,completed,medium,2025-08-16,2025-08-31,2025-08-19
56,TSK00056,2,5,Testing Module,in progress,medium,2025-08-27,2025-09-13,
57,TSK00057,2,40,Deploy Application,completed,low,2025-08-12,2025-10-10,2025-08-22
58,TSK00058,2,43,Create Database Schema,in progress,high,2025-08-15,2025-08-30,
59,TSK00059,2,7,Deploy Application,pending,low,2025-08-06,2025-08-31,
60,TSK00060,2,22,Testing Module,pending,medium,2025-08-17,2025-09-09,
61,TSK00061,2,58,Design User Interface,in progress,low,2025-08-14,2025-09-17,
62,TSK00062,2,1,Create Dashboard,in progress,high,2025-08-24,2025-10-10,
63,TSK00063,2,29,Deploy Application,pending,high,2025-08-06,2025-09-17,
64,TSK00064,2,57,Develop API,pending,medium,2025-07-29,2025-09-27,
65,TSK00065,3,28,Develop API,in progress,low,2024-10-21,2024-11-20,
66,TSK00066,3,58,Create Dashboard,completed,medium,2024-10-31,2024-11-22,2024-11-02
67,TSK00067,3,50,Deploy Application,pending,high,2024-10-24,2024-11-26,
68,TSK00068,3,56,Develop API,completed,critical,2024-10-22,2024-12-19,2024-10-30
69,TSK00069,3,12,Create Dashboard,completed,high,2024-10-08,2024-11-10,2024-10-09
70,TSK00070,3,18,Develop API,completed,high,2024-10-28,2024-11-10,2024-11-05
71,TSK00071,3,15,Testing Module,completed,high,2024-10-15,2024-11-20,2024-10-31
72,TSK00072,3,51,Testing Module,in progress,medium,2024-10-14,2024-12-02,
73,TSK00073,3,18,Create Database Schema,in progress,critical,2024-10-09,2024-11-02,
74,TSK00074,3,44,Deploy Application,completed,medium,2024-10-14,2024-10-22,2024-10-27
75,TSK00075,3,12,Security Testing,completed,critical,2024-10-06,2024-10-29,2024-10-15
76,TSK00076,3,28,Create Dashboard,pending,high,2024-10-04,2024-10-31,
77,TSK00077,3,8,Write Documentation,completed,high,2024-10-16,2024-11-04,2024-11-02
78,TSK00078,3,28,Design User Interface,pending,medium,2024-10-11,2024-12-08,
79,TSK00079,3,24,Write Documentation,completed,low,2024-10-20,2024-12-08,2024-10-27
80,TSK00080,3,21,Create Database Schema,in progress,high,2024-11-01,2024-11-27,
81,TSK00081,3,27,Create Dashboard,in progress,medium,2024-10-19,2024-11-13,
82,TSK00082,3,27,Write Documentation,pending,medium,2024-10-20,2024-11-07,
83,TSK00083,3,26,Deploy Application,in progress,high,2024-10-22,2024-11-17,
84,TSK00084,3,51,Security Testing,pending,medium,2024-10-12,2024-11-08,
85,TSK00085,3,44,Testing Module,in progress,medium,2024-10-17,2024-12-13,
86,TSK00086,4,19,Deploy Application,completed,medium,2025-09-12,2025-10-28,2025-09-15
87,TSK00087,4,49,Testing Module,pending,medium,2025-08-28,2025-09-18,
88,TSK00088,4,2,Design User Interface,pending,medium,2025-09-12,2025-10-19,
89,TSK00089,4,30,Write Documentation,completed,high,2025-09-06,2025-10-19,2025-09-09
90,TSK00090,4,32,Write Documentation,completed,medium,2025-08-24,2025-10-11,2025-09-06
91,TSK00091,4,49,Create Database Schema,pending,high,2025-09-09,2025-09-30,
92,TSK00092,4,30,Design User Interface,completed,medium,2025-08-23,2025-09-06,2025-09-09
93,TSK00093,4,30,Deploy Application,pending,critical,2025-09-01,2025-10-16,
94,TSK00094,4,40,Deploy Application,completed,medium,2025-08-28,2025-10-09,2025-09-12
95,TSK00095,4,29,Fix Bugs,completed,high,2025-09-01,2025-10-31,2025-09-17
96,TSK00096,4,50,Deploy Application,in progress,medium,2025-09-07,2025-09-29,
97,TSK00097,4,46,Fix Bugs,in progress,medium,2025-08-26,2025-09-23,
98,TSK00098,4,9,Develop API,completed,medium,2025-08-28,2025-10-18,2025-08-31
99,TSK00099,4,27,Write Documentation,completed,medium,2025-08-22,2025-09-27,2025-08-25
100,TSK00100,4,54,Write Documentation,pending,medium,2025-08-31,2025-10-26,
101,TSK00101,4,55,Security Testing,completed,medium,2025-09-05,2025-09-12,2025-09-06
102,TSK00102,4,25,Write Documentation,in progress,medium,2025-08-29,2025-10-22,
103,TSK00103,4,32,Testing Module,completed,medium,2025-09-04,2025-10-12,2025-09-12
104,TSK00104,4,43,Write Documentation,in progress,high,2025-08-18,2025-10-17,
105,TSK00105,4,35,Design User Interface,completed,high,2025-09-01,2025-10-15,2025-09-21
106,TSK00106,4,42,Write Documentation,completed,low,2025-09-05,2025-10-11,2025-09-08
107,TSK00107,4,25,Create Dashboard,pending,medium,2025-08-23,2025-09-19,
108,TSK00108,4,18,Write Documentation,completed,medium,2025-08-28,2025-09-09,2025-09-10
109,TSK00109,4,35,Design User Interface,pending,critical,2025-09-02,2025-10-01,
110,TSK00110,4,49,Design User Interface,completed,high,2025-08-25,2025-09-13,2025-08-27
111,TSK00111,4,10,Testing Module,pending,low,2025-09-13,2025-11-01,
112,TSK00112,4,14,Optimize Performance,in progress,medium,2025-08-21,2025-10-16,
113,TSK00113,4,39,Create Database Schema,pending,high,2025-08-29,2025-09-15,
114,TSK00114,4,2,Fix Bugs,pending,medium,2025-08-27,2025-09-27,
115,TSK00115,4,5,Security Testing,completed,medium,2025-08-30,2025-10-16,2025-09-06
116,TSK00116,4,50,Fix Bugs,pending,high,2025-08-25,2025-10-09,
117,TSK00117,4,37,Design User Interface,pending,medium,2025-09-12,2025-10-16,
118,TSK00118,4,33,Create Dashboard,in progress,low,2025-09-08,2025-10-11,
119,TSK00119,4,28,Create Dashboard,in progress,medium,2025-09-13,2025-11-12,
120,TSK00120,4,12,Deploy Application,completed,critical,2025-09-01,2025-09-25,2025-09-15
121,TSK00121,4,50,Optimize Performance,completed,medium,2025-09-06,2025-11-04,2025-09-24
122,TSK00122,4,21,Testing Module,in progress,high,2025-09-10,2025-09-22,
123,TSK00123,4,49,Optimize Performance,completed,medium,2025-08-26,2025-10-14,2025-09-03
124,TSK00124,5,55,Create Dashboard,pending,low,2025-10-15,2025-11-04,
125,TSK00125,5,18,Security Testing,completed,high,2025-10-16,2025-11-09,2025-10-27
126,TSK00126,5,13,Create Database Schema,pending,medium,2025-10-22,2025-11-24,
127,TSK00127,5,16,Optimize Performance,in progress,medium,2025-10-20,2025-11-27,
128,TSK00128,5,19,Testing Module,completed,medium,2025-10-19,2025-11-10,2025-10-22
129,TSK00129,5,31,Deploy Application,completed,medium,2025-10-14,2025-11-17,2025-10-26
130,TSK00130,5,23,Optimize Performance,in progress,medium,2025-10-28,2025-11-20,
131,TSK00131,5,13,Create Dashboard,pending,low,2025-10-12,2025-11-22,
132,TSK00132,5,14,Optimize Performance,completed,medium,2025-10-29,2025-12-12,2025-11-05
133,TSK00133,5,19,Create Database Schema,in progress,high,2025-10-29,2025-11-23,
134,TSK00134,5,20,Design User Interface,in progress,high,2025-10-12,2025-10-27,
135,TSK00135,5,4,Deploy Application,pending,medium,2025-10-13,2025-10-28,
136,TSK00136,5,7,Design User Interface,completed,medium,2025-10-25,2025-12-01,2025-11-10
137,TSK00137,5,12,Design User Interface,in progress,medium,2025-10-20,2025-11-26,
138,TSK00138,5,32,Create Database Schema,completed,medium,2025-10-08,2025-11-27,2025-10-21
139,TSK00139,5,52,Security Testing,pending,high,2025-10-06,2025-10-18,
140,TSK00140,5,49,Write Documentation,pending,medium,2025-10-12,2025-12-08,
141,TSK00141,5,34,Write Documentation,pending,medium,2025-10-24,2025-11-28,
142,TSK00142,5,20,Security Testing,completed,medium,2025-10-14,2025-11-29,2025-10-28
143,TSK00143,5,49,Testing Module,pending,medium,2025-10-28,2025-11-20,
144,TSK00144,5,16,Develop API,pending,medium,2025-10-26,2025-11-12,
145,TSK00145,5,45,Security Testing,in progress,medium,2025-10-05,2025-10-14,
146,TSK00146,6,5,Testing Module,completed,high,2025-02-16,2025-04-14,2025-03-03
147,TSK00147,6,28,Create Database Schema,completed,medium,2025-03-04,2025-04-21,2025-03-11
148,TSK00148,6,5,Design User Interface,completed,low,2025-02-11,2025-03-09,2025-02-16
149,TSK00149,6,59,Fix Bugs,completed,medium,2025-02-26,2025-04-03,2025-03-17
150,TSK00150,6,26,Fix Bugs,in progress,medium,2025-03-01,2025-04-08,
151,TSK00151,6,3,Write Documentation,pending,high,2025-02-21,2025-04-07,
152,TSK00152,6,15,Security Testing,pending,medium,2025-02-15,2025-02-23,
153,TSK00153,6,37,Design User Interface,completed,high,2025-03-03,2025-03-21,2025-03-12
154,TSK00154,6,29,Fix Bugs,in progress,low,2025-02-22,2025-04-07,
155,TSK00155,6,6,Optimize Performance,completed,medium,2025-02-20,2025-03-20,2025-03-08
156,TSK00156,6,22,Write Documentation,completed,medium,2025-02-17,2025-03-14,2025-02-23
157,TSK00157,6,3,Optimize Performance,completed,low,2025-02-28,2025-03-23,2025-03-18
158,TSK00158,6,50,Write Documentation,pending,high,2025-02-17,2025-04-17,
159,TSK00159,6,30,Write Documentation,completed,low,2025-02-07,2025-03-19,2025-02-25
160,TSK00160,6,41,Optimize Performance,completed,high,2025-02-18,2025-03-10,2025-03-06
161,TSK00161,6,60,Fix Bugs,in progress,medium,2025-02-15,2025-04-07,
162,TSK00162,6,41,Security Testing,pending,high,2025-02-22,2025-04-15,
163,TSK00163,7,36,Write Documentation,in progress,low,2024-10-12,2024-12-11,
164,TSK00164,7,8,Develop API,pending,medium,2024-11-01,2024-12-23,
165,TSK00165,7,18,Write Documentation,in progress,high,2024-10-12,2024-11-18,
166,TSK00166,7,10,Write Documentation,in progress,low,2024-10-10,2024-11-24,
167,TSK00167,7,56,Create Database Schema,completed,medium,2024-10-19,2024-12-15,2024-10-24
168,TSK00168,7,60,Deploy Application,in progress,medium,2024-10-30,2024-11-06,
169,TSK00169,7,38,Optimize Performance,completed,high,2024-10-12,2024-11-16,2024-10-31
170,TSK00170,7,22,Deploy Application,in progress,high,2024-10-20,2024-11-20,
171,TSK00171,7,45,Testing Module,completed,medium,2024-10-17,2024-11-07,2024-10-24
172,TSK00172,7,21,Optimize Performance,completed,high,2024-10-30,2024-12-27,2024-11-01
173,TSK00173,7,43,Develop API,in progress,medium,2024-10-15,2024-10-24,
174,TSK00174,7,38,Create Dashboard,in progress,high,2024-10-07,2024-11-11,
175,TSK00175,7,30,Design User Interface,in progress,high,2024-10-06,2024-11-08,
176,TSK00176,7,5,Optimize Performance,completed,high,2024-10-30,2024-11-22,2024-11-04
177,TSK00177,7,42,Create Database Schema,completed,high,2024-10-13,2024-12-02,2024-10-26
178,TSK00178,8,21,Optimize Performance,in progress,high,2025-10-21,2025-10-30,
179,TSK00179,8,41,Fix Bugs,pending,critical,2025-10-23,2025-12-16,
180,TSK00180,8,7,Create Database Schema,in progress,medium,2025-10-06,2025-11-26,
181,TSK00181,8,21,Design User Interface,completed,medium,2025-10-13,2025-11-12,2025-10-15
182,TSK00182,8,34,Write Documentation,pending,medium,2025-10-17,2025-12-13,
183,TSK00183,8,6,Security Testing,pending,high,2025-10-09,2025-11-24,
184,TSK00184,8,59,Security Testing,pending,low,2025-10-25,2025-11-30,
185,TSK00185,8,17,Design User Interface,in progress,high,2025-10-24,2025-11-29,
186,TSK00186,8,35,Develop API,in progress,low,2025-11-01,2025-11-30,
187,TSK00187,8,28,Fix Bugs,in progress,medium,2025-10-22,2025-11-17,
188,TSK00188,8,7,Testing Module,completed,medium,2025-10-10,2025-11-08,2025-10-26
189,TSK00189,8,45,Fix Bugs,in progress,low,2025-10-22,2025-12-21,
190,TSK00190,8,1,Security Testing,in progress,high,2025-10-25,2025-12-20,
191,TSK00191,8,48,Optimize Performance,completed,high,2025-10-27,2025-11-21,2025-11-16
192,TSK00192,8,52,Create Dashboard,completed,medium,2025-10-28,2025-11-16,2025-11-17
193,TSK00193,8,49,Develop API,in progress,medium,2025-10-23,2025-12-09,
194,TSK00194,8,51,Optimize Performance,pending,low,2025-10-24,2025-11-23,
195,TSK00195,8,59,Fix Bugs,pending,medium,2025-10-27,2025-11-29,
196,TSK00196,8,51,Deploy Application,pending,high,2025-10-09,2025-11-08,
197,TSK00197,8,18,Develop API,in progress,medium,2025-10-20,2025-12-18,
198,TSK00198,8,48,Create Dashboard,completed,high,2025-10-19,2025-11-24,2025-10-29
199,TSK00199,8,15,Write Documentation,pending,critical,2025-10-06,2025-12-03,
200,TSK00200,8,51,Write Documentation,in progress,low,2025-10-21,2025-12-01,
201,TSK00201,8,44,Fix Bugs,in progress,medium,2025-10-07,2025-12-05,
202,TSK00202,8,44,Testing Module,completed,medium,2025-10-24,2025-12-09,2025-10-28
203,TSK00203,8,59,Security Testing,completed,medium,2025-11-01,2025-11-12,2025-11-12
204,TSK00204,8,42,Write Documentation,completed,low,2025-10-24,2025-11-02,2025-11-03
205,TSK00205,8,32,Create Database Schema,in progress,low,2025-10-05,2025-11-15,
206,TSK00206,8,24,Deploy Application,in progress,medium,2025-10-08,2025-12-01,
207,TSK00207,8,27,Create Database Schema,pending,high,2025-10-27,2025-12-12,
208,TSK00208,8,3,Create Dashboard,completed,medium,2025-10-17,2025-11-21,2025-10-26
209,TSK00209,8,44,Create Dashboard,completed,medium,2025-10-11,2025-11-28,2025-10-15
210,TSK00210,8,18,Testing Module,pending,critical,2025-10-15,2025-12-13,
211,TSK00211,8,14,Security Testing,pending,critical,2025-10-18,2025-10-28,
212,TSK00212,8,9,Security Testing,in progress,medium,2025-10-29,2025-12-28,
213,TSK00213,8,38,Testing Module,in progress,high,2025-10-28,2025-11-18,
214,TSK00214,8,1,Fix Bugs,completed,high,2025-10-14,2025-10-30,2025-11-03
215,TSK00215,9,12,Create Database Schema,in progress,medium,2024-10-13,2024-10-21,
216,TSK00216,9,51,Testing Module,pending,medium,2024-09-30,2024-10-08,
217,TSK00217,9,9,Write Documentation,in progress,medium,2024-10-01,2024-11-24,
218,TSK00218,9,50,Create Dashboard,in progress,medium,2024-09-28,2024-10-11,
219,TSK00219,9,40,Design User Interface,in progress,high,2024-10-10,2024-11-28,
220,TSK00220,9,42,Design User Interface,in progress,low,2024-10-12,2024-11-18,
221,TSK00221,9,44,Create Database Schema,in progress,medium,2024-10-23,2024-11-27,
222,TSK00222,9,39,Develop API,completed,low,2024-09-28,2024-10-22,2024-10-09
223,TSK00223,9,46,Create Dashboard,completed,medium,2024-10-15,2024-11-29,2024-11-02
224,TSK00224,9,33,Security Testing,in progress,medium,2024-10-12,2024-12-08,
225,TSK00225,9,42,Deploy Application,pending,high,2024-10-18,2024-11-07,
226,TSK00226,9,15,Write Documentation,in progress,medium,2024-10-09,2024-11-14,
227,TSK00227,9,7,Create Dashboard,in progress,medium,2024-10-08,2024-11-26,
228,TSK00228,9,10,Optimize Performance,in progress,low,2024-10-04,2024-12-03,
229,TSK00229,10,48,Create Dashboard,in progress,high,2025-06-10,2025-07-22,
230,TSK00230,10,36,Deploy Application,in progress,medium,2025-06-09,2025-06-23,
231,TSK00231,10,43,Write Documentation,in progress,high,2025-06-21,2025-08-13,
232,TSK00232,10,20,Create Dashboard,completed,low,2025-06-09,2025-07-18,2025-06-29
233,TSK00233,10,31,Testing Module,pending,high,2025-06-14,2025-07-13,
234,TSK00234,10,8,Fix Bugs,in progress,medium,2025-07-05,2025-09-01,
235,TSK00235,10,40,Deploy Application,completed,low,2025-06-21,2025-08-09,2025-07-11
236,TSK00236,10,12,Fix Bugs,completed,high,2025-07-04,2025-07-30,2025-07-05
237,TSK00237,10,1,Develop API,in progress,high,2025-07-07,2025-08-19,
238,TSK00238,10,10,Design User Interface,in progress,low,2025-06-29,2025-08-08,
239,TSK00239,10,30,Create Dashboard,in progress,low,2025-06-14,2025-07-10,
240,TSK00240,10,37,Security Testing,in progress,low,2025-07-01,2025-07-11,
241,TSK00241,11,44,Create Database Schema,completed,medium,2024-10-01,2024-11-19,2024-10-03
242,TSK00242,11,29,Write Documentation,in progress,medium,2024-10-09,2024-12-03,
243,TSK00243,11,28,Create Database Schema,pending,medium,2024-10-12,2024-12-01,
244,TSK00244,11,43,Fix Bugs,in progress,low,2024-10-14,2024-11-15,
245,TSK00245,11,14,Fix Bugs,pending,high,2024-10-15,2024-12-10,
246,TSK00246,11,21,Create Database Schema,completed,low,2024-09-30,2024-11-23,2024-10-10
247,TSK00247,11,25,Deploy Application,pending,high,2024-10-09,2024-11-17,
248,TSK00248,11,5,Write Documentation,completed,high,2024-10-13,2024-10-22,2024-10-25
249,TSK00249,11,59,Create Database Schema,pending,high,2024-10-09,2024-11-21,
250,TSK00250,11,46,Write Documentation,in progress,medium,2024-10-09,2024-11-10,
251,TSK00251,11,52,Security Testing,completed,medium,2024-09-26,2024-11-16,2024-10-02
252,TSK00252,11,28,Create Database Schema,in progress,medium,2024-10-25,2024-12-08,
253,TSK00253,11,26,Fix Bugs,in progress,high,2024-10-08,2024-10-29,
254,TSK00254,11,33,Create Database Schema,completed,medium,2024-10-06,2024-10-25,2024-10-09
255,TSK00255,12,47,Develop API,in progress,medium,2025-08-01,2025-08-17,
256,TSK00256,12,39,Develop API,pending,high,2025-07-16,2025-09-02,
257,TSK00257,12,50,Optimize Performance,pending,medium,2025-07-10,2025-08-22,
258,TSK00258,12,44,Security Testing,in progress,medium,2025-08-01,2025-09-16,
259,TSK00259,12,10,Optimize Performance,completed,low,2025-07-18,2025-08-22,2025-07-29
260,TSK00260,12,18,Security Testing,in progress,low,2025-07-28,2025-09-05,
261,TSK00261,12,29,Design User Interface,in progress,low,2025-07-10,2025-09-08,
262,TSK00262,12,56,Create Database Schema,pending,medium,2025-07-17,2025-08-25,
263,TSK00263,12,36,Design User Interface,in progress,medium,2025-07-20,2025-09-16,
264,TSK00264,12,39,Optimize Performance,completed,medium,2025-07-26,2025-08-05,2025-08-06
265,TSK00265,12,58,Create Dashboard,pending,critical,2025-07-22,2025-08-03,
266,TSK00266,12,16,Optimize Performance,completed,critical,2025-07-24,2025-09-02,2025-07-26
267,TSK00267,12,24,Fix Bugs,completed,medium,2025-07-24,2025-09-18,2025-08-05
268,TSK00268,12,51,Create Dashboard,completed,low,2025-07-18,2025-07-31,2025-07-20
269,TSK00269,12,17,Security Testing,completed,high,2025-07-25,2025-08-22,2025-08-04
270,TSK00270,12,10,Create Dashboard,in progress,medium,2025-07-10,2025-08-27,
271,TSK00271,12,39,Create Database Schema,completed,medium,2025-07-30,2025-08-30,2025-08-04
272,TSK00272,12,43,Deploy Application,completed,low,2025-07-28,2025-09-15,2025-08-02
273,TSK00273,12,2,Create Dashboard,in progress,medium,2025-07-21,2025-08-10,
274,TSK00274,12,13,Testing Module,completed,critical,2025-07-18,2025-08-03,2025-08-03
275,TSK00275,12,51,Create Database Schema,in progress,medium,2025-07-10,2025-08-20,
276,TSK00276,12,3,Create Dashboard,completed,high,2025-08-03,2025-09-18,2025-08-20
277,TSK00277,12,10,Develop API,in progress,low,2025-07-12,2025-09-01,
278,TSK00278,12,47,Optimize Performance,completed,low,2025-08-01,2025-08-31,2025-08-07
279,TSK00279,12,40,Fix Bugs,completed,high,2025-07-29,2025-09-24,2025-08-13
280,TSK00280,12,16,Fix Bugs,pending,critical,2025-07-22,2025-09-17,
281,TSK00281,12,24,Security Testing,completed,critical,2025-07-23,2025-08-28,2025-07-30
282,TSK00282,12,25,Deploy Application,in progress,medium,2025-08-01,2025-08-18,
283,TSK00283,12,39,Develop API,pending,high,2025-08-03,2025-08-13,
284,TSK00284,12,24,Deploy Application,in progress,high,2025-07-28,2025-09-18,
285,TSK00285,12,8,Fix Bugs,in progress,low,2025-08-04,2025-08-21,
286,TSK00286,12,33,Develop API,in progress,high,2025-07-16,2025-07-28,
287,TSK00287,12,29,Create Dashboard,pending,high,2025-08-06,2025-09-08,
288,TSK00288,12,24,Testing Module,in progress,medium,2025-07-09,2025-07-21,
289,TSK00289,12,21,Create Database Schema,pending,high,2025-07-19,2025-09-05,
290,TSK00290,12,3,Fix Bugs,completed,high,2025-07-18,2025-08-24,2025-07-23
291,TSK00291,12,29,Security Testing,completed,low,2025-07-30,2025-08-11,2025-08-15
292,TSK00292,12,54,Develop API,in progress,medium,2025-07-08,2025-08-30,
293,TSK00293,13,50,Fix Bugs,in progress,medium,2025-08-27,2025-09-10,
294,TSK00294,13,41,Security Testing,pending,medium,2025-08-12,2025-08-26,
295,TSK00295,13,35,Design User Interface,completed,medium,2025-09-06,2025-10-19,2025-09-26
296,TSK00296,13,28,Design User Interface,completed,medium,2025-08-18,2025-09-09,2025-08-28
297,TSK00297,13,43,Create Database Schema,in progress,medium,2025-08-29,2025-09-28,
298,TSK00298,13,33,Deploy Application,completed,medium,2025-08-13,2025-09-13,2025-08-31
299,TSK00299,13,41,Write Documentation,in progress,critical,2025-09-07,2025-09-30,
300,TSK00300,13,51,Create Database Schema,pending,medium,2025-09-03,2025-10-26,
301,TSK00301,13,48,Create Dashboard,completed,low,2025-09-01,2025-09-30,2025-09-20
302,TSK00302,13,42,Develop API,in progress,high,2025-08-28,2025-10-17,
303,TSK00303,13,41,Develop API,completed,high,2025-08-25,2025-09-05,2025-09-10
304,TSK00304,13,3,Fix Bugs,completed,medium,2025-09-02,2025-10-29,2025-09-17
305,TSK00305,13,60,Fix Bugs,completed,medium,2025-08-17,2025-10-15,2025-08-28
306,TSK00306,13,3,Testing Module,in progress,medium,2025-08-28,2025-10-23,
307,TSK00307,13,18,Create Database Schema,completed,high,2025-08-12,2025-09-15,2025-08-23
308,TSK00308,13,29,Write Documentation,in progress,medium,2025-09-08,2025-09-26,
309,TSK00309,13,60,Deploy Application,completed,medium,2025-08-26,2025-09-07,2025-09-07
310,TSK00310,13,28,Security Testing,in progress,critical,2025-09-03,2025-09-21,
311,TSK00311,13,7,Create Database Schema,in progress,medium,2025-08-28,2025-09-22,
312,TSK00312,13,46,Write Documentation,in progress,low,2025-08-20,2025-09-24,
313,TSK00313,13,47,Create Dashboard,in progress,medium,2025-08-22,2025-09-25,
314,TSK00314,13,5,Write Documentation,completed,medium,2025-08-19,2025-10-16,2025-08-21
315,TSK00315,13,10,Security Testing,completed,medium,2025-09-03,2025-10-08,2025-09-04
316,TSK00316,13,16,Create Dashboard,pending,medium,2025-08-12,2025-09-24,
317,TSK00317,13,24,Create Dashboard,completed,medium,2025-08-12,2025-08-23,2025-08-27
318,TSK00318,13,24,Write Documentation,pending,medium,2025-08-29,2025-09-22,
319,TSK00319,13,48,Develop API,completed,medium,2025-08-18,2025-09-18,2025-08-19
320,TSK00320,13,17,Fix Bugs,in progress,high,2025-09-09,2025-09-29,
321,TSK00321,13,59,Optimize Performance,in progress,medium,2025-08-30,2025-09-14,
322,TSK00322,14,58,Optimize Performance,in progress,critical,2024-11-10,2025-01-07,
323,TSK00323,14,43,Create Dashboard,completed,high,2024-11-29,2025-01-10,2024-12-10
324,TSK00324,14,20,Develop API,in progress,high,2024-11-25,2025-01-15,
325,TSK00325,14,24,Deploy Application,pending,medium,2024-11-28,2024-12-17,
326,TSK00326,14,51,Optimize Performance,pending,low,2024-12-03,2025-01-14,
327,TSK00327,14,52,Deploy Application,in progress,low,2024-11-26,2024-12-08,
328,TSK00328,14,46,Optimize Performance,in progress,medium,2024-11-10,2025-01-05,
329,TSK00329,14,9,Create Dashboard,completed,medium,2024-11-21,2024-12-26,2024-11-24
